window_name	metric	n_rumor	n_non_rumor	mean_rumor	mean_non_rumor	median_rumor	median_non_rumor	diff_mean_r_minus_n	cliffs_delta	U1	z_value	p_value	p_value_bh_global
window_50	cut_ratio	100	100	0.03987837730941716	0.021552231929546407	0.03989436702422673	0.02102605654433061	0.01832614537987075	0.4014	7007	4.9031857100369605	9.443024624467e-7	0.0000113316295493604
window_50	ncut	100	100	0.1808230101351192	0.12134897102048713	0.18926209264998095	0.10539912943079563	0.059474039114632074	0.3698	6849	4.5170888537270475	0.000006275455392223961	0.000037652732353343765
window_50	cluster_entropy_norm	100	100	0.6023179967603598	0.4886848568687897	0.5842388116399706	0.46899559358639586	0.11363313989157009	0.2446	6223	2.9957554752868867	0.002737797136934894	0.008213391410804682
window_50	largest_cluster_ratio	100	100	0.8255333333333335	0.8666862745098043	0.86	0.9	-0.041152941176470836	-0.2446	3777	-2.9957554752868867	0.002737797136934894	0.008213391410804682
window_100	cut_ratio	100	100	0.03207512904032046	0.02388854680458064	0.029197070776781655	0.02065047130951545	0.008186582235739825	0.1902	5951	2.3224585561533284	0.02020821002928641	0.04041642005857282
window_100	ncut	100	100	0.15421989935127575	0.1458339772377253	0.14725824793221254	0.11529833488170804	0.008385922113550465	0.0866	5433	1.0567736197120616	0.2906149780267051	0.3487379736320461
window_100	cluster_entropy_norm	100	100	0.5663604414555625	0.5075642727209043	0.5146384117230608	0.4527327053238067	0.058796168734658205	0.127	5635	1.552130451030668	0.12063104165119887	0.1809465624767983
window_100	largest_cluster_ratio	100	100	0.8335000000000001	0.855408910891089	0.885	0.905	-0.021908910891088818	-0.127	4365	-1.552130451030668	0.12063104165119887	0.1809465624767983
window_200	cut_ratio	100	100	0.02510797181386971	0.018467918983935933	0.01849845111086275	0.015250376266241572	0.006640052829933778	0.1218	5609	1.4868043680802159	0.13706655438206639	0.18275540584275518
window_200	ncut	100	100	0.1535575617621438	0.13026037436278087	0.15551952637291544	0.11365308620141332	0.02329718739936293	0.1962	5981	2.3957463975392796	0.016586546566294214	0.039807711759106114
window_200	cluster_entropy_norm	100	100	0.45769194731914936	0.4484570240788432	0.38431154412361174	0.36564641611066984	0.00923492324030617	0.0218	5109	0.26527268297536466	0.7907995285294502	0.7907995285294502
window_200	largest_cluster_ratio	100	100	0.8708499999999998	0.8761	0.925	0.93	-0.005250000000000199	-0.0218	4891	-0.26527268297536466	0.7907995285294502	0.7907995285294502